date,user,text,retweets,favourites
2021-03-31 20:52:27,JoeBiden,"The American Jobs Plan is a once-in-a-generation investment in America. It will:
✅Modernize 20,000 miles of highways, roads, and main streets
✅Repair 10,000 bridges desperately in need of upgrades 
✅Replace 100% of our nation’s lead pipes and service lines",4111,25526
2021-03-31 20:46:20,JoeBiden,"Millions of Americans lost their jobs last year.

Here’s the truth: We all do better when we all do well. It’s time to build our economy from the bottom up—and the middle out—not the top down.",5452,46428
2021-03-30 16:29:52,JoeBiden,RT @POTUS: We can’t be silent in the face of rising violence against Asian Americans. That’s why today I’m taking additional steps to respo…,10916,0
2021-03-29 20:45:12,JoeBiden,"RT @POTUS: I’m proud to announce that three weeks from today, 90% of adults will be eligible to get vaccinated — and 90% of Americans will…",20700,0
2021-03-29 18:31:27,JoeBiden,RT @POTUS: Vice President Harris and I just wrapped up a COVID-19 briefing. Tune in as I give an update on our response to the virus and th…,1748,0
2021-03-28 17:40:30,JoeBiden,"RT @POTUS: Two weeks ago, I directed all states, tribes, and territories to make all adult Americans eligible for the vaccine no later than…",6645,0
2021-03-27 17:29:46,JoeBiden,"RT @WhiteHouse: Megan Rapinoe, Margaret Purce, and countless others have been leading the fight for pay equality. This week, the President…",2394,0
2021-03-26 20:54:54,JoeBiden,"RT @POTUS: As we recall the Passover story of overcoming adversity, finding hope, and becoming free, we find a renewed salience. This weeke…",3469,0
2021-03-26 18:15:28,JoeBiden,"RT @POTUS: I ran for president for three reasons: to restore the soul of the nation, rebuild the middle class, and unite the country. https…",5152,0
2021-03-25 21:05:22,JoeBiden,"RT @POTUS: Before I took office, I set a big goal of 100 million shots in my first 100 days.
 
We hit the goal on day 58.
 
Now, I’m settin…",10193,0
2021-03-25 17:27:59,JoeBiden,"RT @POTUS: This afternoon, I’m holding my first formal press conference as president. Tune in. https://t.co/dvl1RAtOjr",2643,0
2021-03-24 16:36:04,JoeBiden,"RT @WHCOVIDResponse: In total, 84 million people -- about 1 in 3 adults -- have received at least one dose of the vaccine and more than 45…",1810,0
2021-03-24 00:52:38,JoeBiden,"RT @WhiteHouse: President Biden believes every single American deserves access to quality, affordable health care. Here’s a breakdown of ho…",3129,0
2021-03-23 17:33:46,JoeBiden,RT @POTUS: Jill and I are devastated for the lives that have been shattered by gun violence in Colorado. Less than a week after the horrifi…,5202,0
2021-03-22 21:09:33,JoeBiden,RT @WhiteHouse: Big news: The Biden-Harris Administration set a new record this weekend with 6 million shots reported administered. We’re r…,4028,0
2021-03-22 18:04:25,JoeBiden,"RT @POTUS: Under the American Rescue Plan, the typical family of four is getting a $5,600 check. That money helps folks keep a roof over th…",7768,0
2021-03-21 23:35:58,JoeBiden,"RT @POTUS: Mask up, America. https://t.co/6yaUHYmzWC",19662,0
2021-03-21 14:33:23,JoeBiden,"RT @WhiteHouse: Before President Biden took office, the U.S. was administering an average of 900,000 COVID-19 vaccine doses a day.

Last we…",4050,0
2021-03-20 14:48:15,JoeBiden,"RT @POTUS: Like countless people across the country, Jocelyn and her family are struggling to make ends meet. I gave her a call to discuss…",3728,0
2021-03-19 22:53:25,JoeBiden,"RT @POTUS: Words have consequences. 

It’s called the coronavirus.

Full stop.",23753,0
